strategy_00,strategy_01,strategy_02,strategy_03,strategy_04,strategy_05,strategy_06,strategy_07,strategy_08,strategy_09,strategy_10,strategy_11,strategy_12,strategy_13,strategy_14,strategy_15,strategy_16,strategy_17,strategy_18,strategy_19,strategy_20,strategy_21,strategy_22,strategy_23,strategy_24,strategy_25,strategy_26,strategy_27,strategy_28,strategy_29,strategy_30,strategy_31,strategy_32,strategy_33,strategy_34,strategy_35,strategy_36,strategy_37,strategy_38,strategy_39,strategy_40,strategy_41,strategy_42,strategy_43,strategy_44,strategy_45,strategy_46,strategy_47,strategy_48,strategy_49
0.021182,0.037488,0.047335,0.007408,0.041302,0.009889,0.058578,0.046406,0.025576,-0.020566,0.046192,0.000158,0.014345,0.099513,0.049863,0.083339,0.081529,0.047622,0.050823,-0.023932,-0.018959,-0.026334,-0.013262,-0.003766,0.063518,-0.043759,0.005896,0.039543,0.073822,0.047016,0.093745,0.031218,0.057289,0.006993,0.016638,0.061299,0.030745,-0.021616,0.033017,-0.027034,0.000838,-0.007371,-0.025181,0.019743,-0.087513,0.032879,-0.034628,0.090274,0.062510,0.044206
-0.022204,0.025490,-0.014555,0.012647,-0.022842,0.083374,-0.037755,0.024464,0.033414,0.005480,0.061927,-0.022590,-0.021264,0.055721,0.019941,-0.026152,0.122646,0.031848,0.035734,0.029835,0.002706,0.005614,0.064695,0.044571,0.048495,0.038436,0.038890,0.029700,0.066695,0.046517,-0.009131,-0.009550,0.068548,0.056368,0.010001,-0.001770,0.074050,0.030912,0.043709,0.032705,0.029534,0.116160,0.045488,0.002551,-0.004356,-0.028774,0.017820,0.024925,0.033871,-0.038295
-0.022895,-0.032833,-0.065548,-0.011029,0.015218,-0.016263,0.007698,-0.028125,-0.056300,0.022138,-0.008399,0.036724,0.038073,0.031240,0.019110,-0.023539,-0.068509,-0.017025,-0.049343,-0.051842,-0.041270,0.008384,0.017055,-0.035852,-0.022297,0.037159,-0.038319,0.054942,-0.003873,0.070112,-0.051642,-0.007652,0.028724,0.018871,-0.053026,0.003078,-0.040323,-0.013023,-0.043625,-0.030653,-0.053170,-0.041189,-0.028400,-0.098187,-0.034082,-0.090167,-0.031250,-0.088550,-0.017279,-0.010896
-0.035364,0.021817,-0.006144,0.124929,0.007087,0.033420,-0.053844,-0.028942,-0.049882,0.037516,-0.075188,0.047329,0.014317,-0.002148,-0.038929,0.011823,0.042014,0.073001,-0.019574,0.052607,-0.017049,0.008413,-0.026562,-0.033508,-0.028350,-0.014611,0.029264,-0.040618,0.015040,0.072840,-0.024588,0.008900,-0.034083,-0.039665,0.019970,-0.000278,0.043837,0.004120,-0.013653,-0.017505,0.030099,0.044723,0.019340,0.022776,0.003210,-0.001924,0.009395,0.105461,0.017543,-0.019302
-0.002475,-0.054003,0.080679,-0.012051,0.088202,0.088734,0.024084,0.033443,-0.058033,-0.037465,0.018164,-0.004891,0.021488,0.039521,-0.038866,0.023100,-0.052928,0.031427,0.040814,-0.005407,-0.006964,0.053845,0.029255,0.050167,-0.017276,0.014627,0.086787,-0.023886,-0.020863,0.012998,0.046645,-0.037413,-0.028685,0.028934,-0.019575,-0.038538,0.048232,0.077976,-0.037386,0.022491,0.046132,0.043042,0.017135,-0.014413,0.055357,-0.012810,0.036194,0.020259,0.042729,0.016369
0.017593,-0.023625,0.023826,0.007013,-0.001600,0.018281,-0.060502,-0.064194,-0.094548,-0.036083,0.009866,-0.033405,-0.060788,-0.075811,-0.000992,0.019546,0.014423,-0.030377,-0.022451,-0.072445,-0.090364,-0.039691,0.029675,-0.009139,-0.021952,-0.018433,-0.081311,0.039190,0.017627,0.053309,-0.059748,0.000638,0.061174,0.011229,0.001949,-0.048127,-0.093666,-0.106852,0.010021,0.004484,-0.032202,-0.063796,-0.011125,-0.005327,0.005092,-0.056663,-0.019835,-0.093111,0.004021,-0.028527
0.001574,-0.016136,-0.025900,-0.001285,0.025993,0.022233,0.014606,0.014648,-0.023870,-0.037144,-0.061487,0.094906,-0.011685,0.005306,0.037130,-0.017531,-0.061798,-0.011369,-0.084027,-0.016674,0.055150,0.003044,-0.031408,0.076916,0.033555,-0.023720,-0.018867,-0.027108,0.042697,0.003735,-0.030866,0.023066,0.024125,0.086684,0.030202,0.011881,0.022511,0.044579,-0.002182,-0.017008,0.065213,0.007321,-0.009957,0.022358,0.016526,-0.028641,0.006743,0.068776,0.014081,-0.017754
-0.024561,-0.017657,0.003059,-0.048746,0.042611,0.026094,0.009291,-0.027199,-0.078379,-0.022835,-0.009590,-0.033846,0.004823,-0.016912,-0.024581,0.023937,-0.014504,0.013150,0.019057,-0.008466,0.009437,-0.043007,0.072831,-0.065692,-0.069561,-0.068386,-0.013558,0.022134,-0.076135,-0.000379,0.006510,0.028677,0.051289,0.008287,-0.003713,0.044306,-0.044343,0.005469,-0.081715,-0.070956,-0.038518,0.015750,0.030169,0.047594,-0.019689,-0.065715,-0.043646,-0.052522,-0.018176,-0.040348
-0.016341,-0.104766,-0.022811,-0.039632,-0.041929,-0.035884,-0.048118,-0.083734,-0.111682,-0.046614,0.038290,-0.013012,-0.076529,-0.005587,-0.062605,-0.054313,-0.072230,-0.002848,0.041544,-0.035979,0.045861,-0.052052,0.000221,-0.089312,0.026329,0.011649,0.015339,0.021074,-0.089991,-0.035061,-0.057377,-0.022368,0.048692,0.024238,-0.029845,-0.001089,-0.059081,-0.019369,-0.075064,-0.044644,0.006372,-0.036941,-0.041675,-0.056041,-0.010914,-0.065545,-0.014142,-0.102971,-0.043414,-0.050206
0.005642,-0.015470,0.003404,0.006552,-0.079312,0.045594,-0.049986,-0.053759,-0.031520,-0.060257,-0.037112,-0.006919,-0.056836,-0.035659,-0.050240,-0.030129,0.036781,0.004102,-0.049789,-0.023735,-0.048435,-0.032112,-0.006158,0.021811,0.029175,0.005259,0.008870,0.009489,0.007609,-0.030907,-0.025806,0.064978,0.047976,-0.051349,0.011274,0.046487,-0.070252,-0.004566,-0.008169,0.041577,0.004972,0.026936,-0.079803,-0.091206,-0.054622,0.060958,0.032922,0.052477,-0.001551,0.005736
-0.000075,0.041358,0.064356,0.020657,0.032667,0.011086,0.086823,0.008590,0.035492,0.028470,0.078717,0.063587,-0.002422,0.052528,0.036602,-0.030633,0.101838,0.035240,-0.039895,0.109472,0.030583,0.033837,-0.012110,0.071821,-0.073503,-0.008836,-0.008656,0.058035,0.053180,0.093246,0.044732,0.091694,-0.007303,0.030506,0.050732,-0.040209,0.009667,0.032418,0.077735,-0.035073,0.011205,0.090134,0.046437,0.032859,0.055805,-0.009055,0.021627,0.018126,0.030678,0.059989
0.043696,-0.003702,-0.027338,-0.036034,-0.032071,-0.019497,0.043775,0.033960,-0.032825,-0.056709,-0.042174,0.008562,0.000402,0.025507,-0.015048,-0.038408,-0.064832,-0.034353,-0.063546,-0.012014,-0.038450,-0.059010,0.028309,-0.024543,0.019805,-0.005354,-0.012565,0.009225,0.017985,0.098689,0.009397,-0.018814,-0.002492,0.069766,0.005806,0.029087,0.023912,0.010645,-0.075678,-0.029628,0.017931,-0.026952,0.074533,0.009286,-0.008968,0.037220,0.026322,0.000936,0.000446,-0.017479
0.006412,0.032349,0.021691,0.033800,0.067267,0.001163,-0.003143,0.041825,0.056409,0.003078,0.128005,0.023695,0.017109,0.018681,0.035865,0.001114,0.071856,0.083125,-0.001353,0.020463,0.023862,0.049633,0.072180,0.091186,-0.033569,0.019386,0.073699,0.139700,0.001308,-0.023460,0.052313,0.047094,0.036883,0.090789,0.074896,0.066014,0.070899,0.043695,0.018254,0.070719,0.035223,0.076866,0.012064,0.089005,0.015511,0.002106,0.053028,0.090002,0.042799,0.061816
